accuracy,f1_macro,f1_cancer,recall_cancer,precision_cancer,fold,mode,k,purity_threshold,min_labeled_per_cluster,pseudo_weight,n_pseudo,pseudo_cancer,pseudo_normal,mapped_clusters
0.95,0.949874686716792,0.9523809523809523,1.0,0.9090909090909091,1,cancer_only,15,0.9,2,0.05,583,583,0,7
0.95,0.949874686716792,0.9523809523809523,1.0,0.9090909090909091,1,cancer_only,15,0.9,2,0.1,583,583,0,7
0.95,0.949874686716792,0.9523809523809523,1.0,0.9090909090909091,1,cancer_only,15,0.9,2,0.2,583,583,0,7
0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,1,cancer_only,15,0.9,3,0.01,369,369,0,4
0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,1,cancer_only,15,0.9,3,0.02,369,369,0,4
0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,1,cancer_only,15,0.9,3,0.05,369,369,0,4
0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,1,cancer_only,15,0.9,3,0.1,369,369,0,4
0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,1,cancer_only,15,0.9,3,0.2,369,369,0,4
0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,1,cancer_only,15,0.9,5,0.01,209,209,0,2
0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,1,cancer_only,15,0.9,5,0.02,209,209,0,2
0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,1,cancer_only,15,0.9,5,0.05,209,209,0,2
0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,1,cancer_only,15,0.9,5,0.1,209,209,0,2
0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,1,cancer_only,15,0.9,5,0.2,209,209,0,2
0.95,0.949874686716792,0.9523809523809523,1.0,0.9090909090909091,1,cancer_only,15,0.95,2,0.01,583,583,0,7
0.95,0.949874686716792,0.9523809523809523,1.0,0.9090909090909091,1,cancer_only,15,0.95,2,0.02,583,583,0,7
0.95,0.949874686716792,0.9523809523809523,1.0,0.9090909090909091,1,cancer_only,15,0.95,2,0.05,583,583,0,7
0.95,0.949874686716792,0.9523809523809523,1.0,0.9090909090909091,1,cancer_only,15,0.95,2,0.1,583,583,0,7
0.95,0.949874686716792,0.9523809523809523,1.0,0.9090909090909091,1,cancer_only,15,0.95,2,0.2,583,583,0,7
0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,1,cancer_only,15,0.95,3,0.01,369,369,0,4
0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,1,cancer_only,15,0.95,3,0.02,369,369,0,4
0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,1,cancer_only,15,0.95,3,0.05,369,369,0,4
0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,1,cancer_only,15,0.95,3,0.1,369,369,0,4
0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,1,cancer_only,15,0.95,3,0.2,369,369,0,4
0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,1,cancer_only,15,0.95,5,0.01,209,209,0,2
0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,1,cancer_only,15,0.95,5,0.02,209,209,0,2
0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,1,cancer_only,15,0.95,5,0.05,209,209,0,2
0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,1,cancer_only,15,0.95,5,0.1,209,209,0,2
0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,1,cancer_only,15,0.95,5,0.2,209,209,0,2
0.95,0.949874686716792,0.9523809523809523,1.0,0.9090909090909091,1,cancer_only,15,1.0,2,0.01,583,583,0,7
0.95,0.949874686716792,0.9523809523809523,1.0,0.9090909090909091,1,cancer_only,15,1.0,2,0.02,583,583,0,7
0.95,0.949874686716792,0.9523809523809523,1.0,0.9090909090909091,1,cancer_only,15,1.0,2,0.05,583,583,0,7
0.95,0.949874686716792,0.9523809523809523,1.0,0.9090909090909091,1,cancer_only,15,1.0,2,0.1,583,583,0,7
0.95,0.949874686716792,0.9523809523809523,1.0,0.9090909090909091,1,cancer_only,15,1.0,2,0.2,583,583,0,7
0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,1,cancer_only,15,1.0,3,0.01,369,369,0,4
0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,1,cancer_only,15,1.0,3,0.02,369,369,0,4
0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,1,cancer_only,15,1.0,3,0.05,369,369,0,4
0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,1,cancer_only,15,1.0,3,0.1,369,369,0,4
0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,1,cancer_only,15,1.0,3,0.2,369,369,0,4
0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,1,cancer_only,15,1.0,5,0.01,209,209,0,2
0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,1,cancer_only,15,1.0,5,0.02,209,209,0,2
0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,1,cancer_only,15,1.0,5,0.05,209,209,0,2
0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,1,cancer_only,15,1.0,5,0.1,209,209,0,2
0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,1,cancer_only,15,1.0,5,0.2,209,209,0,2
0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,1,both,15,0.9,2,0.01,778,583,195,9
0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,1,both,15,0.9,2,0.02,778,583,195,9
0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,1,both,15,0.9,2,0.05,778,583,195,9
0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,1,both,15,0.9,2,0.1,778,583,195,9
0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,1,both,15,0.9,2,0.2,778,583,195,9
0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,1,both,15,0.9,3,0.01,564,369,195,6
0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,1,both,15,0.9,3,0.02,564,369,195,6
